,gene_ID,average_log2FoldChange,adjpval
gene-LOC110440016,LOC110440016,-3.26935104,0.005040293
gene-LOC101882414,LOC101882414,-2.080100026,2.17E-13
gene-LOC110440017,LOC110440017,1.850483083,0.00780166
gene-angptl2b,angptl2b,-1.797676075,0
gene-LOC101882658,LOC101882658,-2.720989315,0.001110635
gene-pbx3b,pbx3b,-1.570107346,3.09E-12
gene-setd1bb,setd1bb,-3.94743091,0
gene-hpdb,hpdb,-1.829665564,3.31E-08
gene-iqsec2b,iqsec2b,-1.50006188,4.32E-05
gene-got1l1,got1l1,-1.691699853,0
gene-LOC101885033,LOC101885033,-2.759031676,0.000155332
gene-si:dkey-63d15.12,si:dkey-63d15.12,-2.397537291,7.10E-08
gene-msi1,msi1,-1.743353169,4.08E-16
gene-LOC100000633,LOC100000633,-1.801820357,7.31E-05
gene-si:ch211-170d8.8,si:ch211-170d8.8,-3.084161663,6.42E-12
gene-izumo1,izumo1,-6.3153424,0
gene-dusp2,dusp2,-1.597449319,0
gene-olfml2a,olfml2a,-1.790517942,0.003572979
gene-crybb2,crybb2,2.062257539,0.006438103
gene-rimbp2,rimbp2,-1.615119812,1.21E-15
gene-rsph14,rsph14,-3.160148928,0
gene-star,star,-2.361912926,0
gene-elmod3,elmod3,-1.64571582,6.59E-14
gene-timm17b,timm17b,-1.819502884,0.040975455
gene-si:ch211-163b2.2,si:ch211-163b2.2,-2.570944283,1.79E-07
gene-angptl7,angptl7,-2.345811081,1.55E-06
gene-si:dkey-75a21.2,si:dkey-75a21.2,-1.805533515,0
gene-pimr186,pimr186,-3.287809992,0
gene-pimr185,pimr185,-2.945936633,0
gene-LOC110440022,LOC110440022,-1.931969898,2.40E-15
gene-nppb,nppb,-1.532009214,3.97E-05
gene-LOC103911576,LOC103911576,-3.202517225,4.08E-16
gene-LOC101886147,LOC101886147,-3.38904158,0
gene-tprg1l,tprg1l,-1.917049041,0
gene-plp2,plp2,-1.50676171,0
gene-si:ch211-194e1.7,si:ch211-194e1.7,-2.682409155,5.29E-05
gene-rasef,rasef,-2.378322645,0.002283765
gene-sypb,sypb,-2.029727472,0
gene-nkx3-1,nkx3-1,-2.937502901,0
gene-si:dkey-263f15.2,si:dkey-263f15.2,-3.10568913,2.40E-15
gene-LOC100331257,LOC100331257,-1.696112605,4.92E-11
gene-prkg1l,prkg1l,-1.911411438,0.002541761
gene-lgi3,lgi3,-2.030173775,0
gene-klhl22,klhl22,-2.173826696,8.25E-15
gene-tbx16,tbx16,-1.761345016,0.023690767
gene-cox5b1,cox5b1,-3.200777575,2.40E-09
gene-cyr61l2,cyr61l2,-1.76039018,0
gene-si:dkey-90l8.3,si:dkey-90l8.3,-2.110637079,1.79E-08
gene-LOC101882297,LOC101882297,-5.080471966,0
gene-LOC103911582,LOC103911582,-2.852134974,0
gene-b3galt4,b3galt4,-1.947249253,0.015743471
gene-gabrd,gabrd,-2.514344617,5.13E-06
gene-cfap74,cfap74,-4.031356939,0
gene-cacna1db,cacna1db,-1.557865006,0
gene-wnt5a,wnt5a,-2.840287199,6.38E-07
gene-bsna,bsna,-2.54342354,1.90E-08
gene-mmp23ba,mmp23ba,-1.748763816,0
gene-LOC110440027,LOC110440027,-1.604035779,0
gene-exorh,exorh,-2.380671771,4.67E-10
gene-lims2,lims2,-2.004689463,8.66E-07
gene-LOC103911597,LOC103911597,-2.377382297,4.13E-08
gene-LOC100536316,LOC100536316,-2.435929648,3.19E-15
gene-map3k12,map3k12,-2.960572633,1.63E-07
gene-bzw1b,bzw1b,1.693255316,0
gene-zgc:91849,zgc:91849,-1.72125194,0
gene-si:dkey-11f4.16,si:dkey-11f4.16,-2.581214553,0
gene-dip2a,dip2a,-1.676875682,0
gene-sctr,sctr,-3.473377054,4.08E-16
gene-tmem37,tmem37,-2.717212608,2.17E-09
gene-LOC101883674,LOC101883674,-3.315136417,1.80E-11
gene-osbpl6,osbpl6,-2.739065795,0.000627644
gene-si:ch211-222f23.6,si:ch211-222f23.6,-2.152914256,9.02E-15
gene-evx2,evx2,-2.193198084,0.003071655
gene-nfe2l2a,nfe2l2a,-1.525011757,0
gene-hnrnpa3,hnrnpa3,-2.01410997,0
gene-zak,zak,-1.618400695,0.008854452
gene-rapgef4,rapgef4,-2.2906733,2.44E-08
gene-wipf1a,wipf1a,-1.522017701,0
gene-LOC103911600,LOC103911600,-2.324115017,0.020174737
gene-ftr52p,ftr52p,-1.910259334,0.013719851
gene-dlx1a,dlx1a,-2.058542811,0
gene-gad1a,gad1a,-1.974996987,0.044935673
gene-sp5a,sp5a,-1.832524651,0
gene-kcnj3a,kcnj3a,-2.353988394,0.047601114
gene-LOC563561,LOC563561,-2.3386048,0
gene-desma,desma,-2.601818357,0.000230832
gene-si:ch1073-349o24.2,si:ch1073-349o24.2,-2.00454617,0
gene-irs2b,irs2b,-1.694251246,0
gene-si:ch211-214p13.7,si:ch211-214p13.7,-1.826227072,0.01438345
gene-maats1,maats1,-2.879498894,0
gene-nxph2a,nxph2a,-1.559698232,0.045860254
gene-hnmt,hnmt,1.56944821,0
gene-LOC566927,LOC566927,-3.221952905,2.89E-14
gene-zgc:162707,zgc:162707,-2.81471727,1.84E-10
gene-crfb2,crfb2,-2.558698193,2.68E-05
gene-tmprss3a,tmprss3a,-2.060686217,0.000100909
gene-LOC103911631,LOC103911631,-1.602064237,0.003791438
gene-si:ch211-141e20.2,si:ch211-141e20.2,-2.026840125,2.54E-13
gene-tbx15,tbx15,-1.54367235,0
gene-LOC100535312,LOC100535312,-1.602341771,0
gene-si:rp71-68n21.12,si:rp71-68n21.12,-2.030160795,0.000187346
gene-cx30.3,cx30.3,3.134481606,3.95E-05
gene-lmo7a,lmo7a,-1.967004721,0
gene-si:dkey-91i10.3,si:dkey-91i10.3,-2.170483981,0
gene-sh3bp4,sh3bp4,-2.411402998,0.036930968
gene-faima,faima,-1.576064854,0
gene-dnah7,dnah7,-2.587930392,0
gene-arhgap15,arhgap15,-1.522207441,0
gene-efnb2a,efnb2a,-3.102250602,0
gene-dbr1,dbr1,-1.798291816,1.71E-14
gene-si:rp71-45g20.10,si:rp71-45g20.10,-2.059341321,0
gene-fzd5,fzd5,1.734336031,0
gene-tmem30c,tmem30c,-2.193415899,7.98E-10
gene-abi3bp,abi3bp,-1.804730495,9.89E-06
gene-impg2a,impg2a,-2.433706179,0.031774465
gene-rpgra,rpgra,-2.494825057,5.73E-08
gene-morc3a,morc3a,-1.662735529,0
gene-si:ch211-168k14.2,si:ch211-168k14.2,-1.720203081,2.23E-13
gene-nalcn,nalcn,-2.303123726,0
gene-wu:fj66e11,wu:fj66e11,-3.802923579,0.000600495
gene-LOC103911669,LOC103911669,-6.082489065,0.002540973
gene-si:ch211-165b19.9,si:ch211-165b19.9,-1.565501212,0.009081712
gene-si:ch211-165b19.5,si:ch211-165b19.5,-1.650857815,3.24E-08
gene-si:ch211-165b19.8,si:ch211-165b19.8,-2.233244277,3.20E-07
gene-mxc,mxc,-2.04844682,1.61E-15
gene-mxe,mxe,-1.533725789,0
gene-LOC101883176,LOC101883176,-3.685326907,0
gene-cnga4,cnga4,-1.693393703,3.08E-07
gene-si:ch211-125e6.8,si:ch211-125e6.8,-2.205941469,1.28E-08
gene-si:dkey-216e24.3,si:dkey-216e24.3,2.40987714,0
gene-si:ch211-125e6.13,si:ch211-125e6.13,1.691112221,8.43E-13
gene-efhc2,efhc2,-2.627287169,0
gene-LOC101887113,LOC101887113,-2.412623681,0
gene-si:ch211-218d20.15,si:ch211-218d20.15,-1.990667971,3.85E-07
gene-slc25a6,slc25a6,-2.696088524,1.18E-06
gene-p2ry8,p2ry8,-2.211740255,4.10E-14
gene-mab21l3,mab21l3,-2.725274372,1.72E-10
gene-atp1a1b,atp1a1b,-2.129529786,0
gene-si:dkey-3d4.3,si:dkey-3d4.3,-1.55889791,6.43E-13
gene-inhbb,inhbb,-2.625092665,0
gene-cacnb4a,cacnb4a,-2.803523785,0.000203619
gene-cyp27a1.2,cyp27a1.2,-2.205054125,0.001249608
gene-zgc:136333,zgc:136333,-2.449623952,9.51E-13
gene-cyp27a1.4,cyp27a1.4,-1.763917055,0
gene-si:dkey-101k6.5,si:dkey-101k6.5,-1.523097848,5.22E-07
gene-kansl1l,kansl1l,-1.655787757,0
gene-myl1,myl1,-1.813825577,5.25E-05
gene-abca12,abca12,-1.801500556,0
gene-ankar,ankar,-4.312460259,0
gene-obsl1b,obsl1b,-1.662165381,4.13E-11
gene-lrrc3,lrrc3,1.540966723,0
gene-ttn.2,ttn.2,-1.798739979,0
gene-col5a2a,col5a2a,-1.785694367,0
gene-ccdc141,ccdc141,-1.794782343,0
gene-cerkl,cerkl,-1.678848784,0
gene-ppp1r1c,ppp1r1c,-2.349571628,8.62E-05
gene-agr1,agr1,-4.162978967,1.11E-07
gene-slc4a3,slc4a3,-2.904016275,0
gene-igfbp5b,igfbp5b,-1.98056354,0
gene-klhl23,klhl23,-3.805798556,0
gene-ccdc173,ccdc173,-3.26585418,0
gene-klhl41a,klhl41a,-2.979721734,4.08E-16
gene-zgc:172182,zgc:172182,-3.303907171,0
gene-csrnp3,csrnp3,-2.024762384,0.000653963
gene-ifih1,ifih1,-2.756073053,0
gene-nme8,nme8,-3.229227353,0
gene-pfkla,pfkla,-1.569811462,0
gene-LOC799279,LOC799279,-1.551535962,0
gene-si:ch211-199f5.1,si:ch211-199f5.1,-3.048744878,1.18E-08
gene-pcdh8,pcdh8,-1.512561345,5.88E-09
gene-il13,il13,-1.569874417,2.17E-06
gene-glra2,glra2,-3.654141524,2.66E-12
gene-gpr143,gpr143,-2.868158657,2.07E-07
gene-si:ch211-39i22.1,si:ch211-39i22.1,-1.537790595,0
gene-LOC110440053,LOC110440053,-1.843198975,0.000562926
gene-LOC101885626,LOC101885626,-2.743578968,2.71E-10
gene-lcp1,lcp1,-1.558000858,0
gene-nek5,nek5,-4.10216741,7.45E-14
gene-LOC100148704,LOC100148704,-1.587123353,0
gene-zdhhc8a,zdhhc8a,-5.240142615,0
gene-LOC569920,LOC569920,-3.533591225,7.23E-14
gene-LOC108191543,LOC108191543,-5.311805563,0
gene-bmp10l,bmp10l,-2.379958595,0.001622642
gene-glis3,glis3,-2.708038641,0
gene-wu:fb59d01,wu:fb59d01,-3.040403127,0
gene-grk5,grk5,-3.139634861,0
gene-ckmt2a,ckmt2a,-2.189455991,2.58E-05
gene-rasgrf2a,rasgrf2a,-2.80910429,3.53E-10
gene-slc25a1b,slc25a1b,-2.460445325,3.26E-08
gene-tor4aa,tor4aa,-1.647471788,0
gene-grin3a,grin3a,-1.707948133,5.12E-14
gene-LOC100002406,LOC100002406,-1.543345572,0.007656388
gene-si:ch73-234b20.5,si:ch73-234b20.5,-2.357377933,0.005302345
gene-hnrpdl,hnrpdl,-5.535928398,0
gene-cdc42se2,cdc42se2,-3.095536886,4.66E-13
gene-zgc:194281,zgc:194281,-2.410759267,0.018799289
gene-loxa,loxa,-2.162787924,1.27E-08
gene-sftpba,sftpba,-2.010621072,0.00265156
gene-zgc:136254,zgc:136254,2.698685703,0
gene-zgc:158494,zgc:158494,2.736922777,1.24E-08
gene-si:ch211-251f6.6,si:ch211-251f6.6,2.174151821,0
gene-atp6v0a2a,atp6v0a2a,-1.640461779,0.016887315
gene-mcidas,mcidas,-2.580219343,2.64E-06
gene-pmaip1,pmaip1,1.656366129,0
gene-si:dkey-27b3.4,si:dkey-27b3.4,-1.811515233,0.001069816
gene-isl1l,isl1l,2.481638476,8.48E-08
gene-itga1,itga1,-1.650225246,9.79E-09
gene-fstb,fstb,-3.481448088,0
gene-snx18b,snx18b,-2.244200084,0
gene-antxr2b,antxr2b,-2.747635099,2.25E-10
gene-si:ch211-243g18.2,si:ch211-243g18.2,-2.244117791,2.18E-11
gene-morn5,morn5,-2.34529421,0
gene-lhx6,lhx6,-2.624081594,1.15E-10
gene-urm1,urm1,-1.683397071,1.17E-07
gene-fam163b,fam163b,-2.109991548,0.000680336
gene-ptgdsa,ptgdsa,-1.595099248,0.045073742
gene-LOC101885184,LOC101885184,-2.412732536,6.42E-05
gene-LOC101885220,LOC101885220,-4.021852355,3.34E-13
gene-LOC110437817,LOC110437817,-2.709752819,0
gene-cntfr,cntfr,-2.363937681,6.60E-07
gene-katnal2,katnal2,-2.0764169,0
gene-zgc:153395,zgc:153395,-3.28350411,7.92E-12
gene-si:dkey-88l16.3,si:dkey-88l16.3,2.113490716,0
gene-si:ch211-95j8.5,si:ch211-95j8.5,-1.649253514,0.036219196
gene-parm1,parm1,-2.119364,6.29E-06
gene-vldlr,vldlr,1.615355734,0
gene-LOC110440066,LOC110440066,-2.066947046,0.000508677
gene-LOC565709,LOC565709,-3.80716674,0
gene-fbn2a,fbn2a,-2.294500723,8.87E-11
gene-fbn2,fbn2,-1.697582015,0
gene-LOC110440067,LOC110440067,-3.23270305,1.28E-06
gene-fam166b,fam166b,-4.013217151,0
gene-si:dkey-106l3.6,si:dkey-106l3.6,-1.723325173,8.11E-16
gene-rab36,rab36,-5.504135373,0
gene-dpysl2b,dpysl2b,-2.212491793,0
gene-sfrp1b,sfrp1b,-3.655080408,0
gene-si:ch211-113d22.2,si:ch211-113d22.2,-2.429043625,5.51E-05
gene-si:dkey-81j8.6,si:dkey-81j8.6,-3.630434262,0
gene-rassf2b,rassf2b,-1.548395031,0
gene-zgc:165539,zgc:165539,1.938358509,0
gene-pcdh1a6,pcdh1a6,-1.743957029,0.003600005
gene-pcdh1a3,pcdh1a3,-2.246074766,1.21E-10
gene-pcdh1gc6,pcdh1gc6,-1.774178757,0.030473075
gene-pcdh1g1,pcdh1g1,-2.160685809,0.000126306
gene-cldn7b,cldn7b,1.578834351,0
gene-nlgn2b,nlgn2b,-3.396118454,0
gene-tmem88a,tmem88a,-1.881819436,5.25E-05
gene-pcolcea,pcolcea,-2.149128251,0
gene-per1a,per1a,-1.967976445,0
gene-vamp2,vamp2,-2.836971902,0
gene-and3,and3,-1.549361101,0.021249209
gene-pitpnab,pitpnab,-1.874528603,1.59E-07
gene-mtnr1bb,mtnr1bb,-2.307343092,0.016312047
gene-rab38b,rab38b,-1.561567412,0
gene-map3k7cl,map3k7cl,-2.673567172,3.64E-08
gene-bach1b,bach1b,-2.562469264,2.74E-07
gene-trpc4a,trpc4a,-2.51726589,0
gene-tmtops3b,tmtops3b,-1.80973899,0.002445399
gene-si:ch73-52f15.5,si:ch73-52f15.5,-2.263781022,0
gene-LOC101883296,LOC101883296,-2.437970022,0.013637281
gene-f9b,f9b,-3.020186428,0.000316156
gene-znhit2,znhit2,2.855226414,0.007850407
gene-tm7sf2,tm7sf2,-2.453999429,5.50E-09
gene-faub,faub,1.858794716,0
gene-LOC101883059,LOC101883059,-2.478159773,1.61E-05
gene-bbx,bbx,-2.725358785,0.005473645
gene-sytl2a,sytl2a,-1.549951584,0
gene-ccdc83,ccdc83,-3.819924095,0
gene-ift46,ift46,-1.574914822,0
gene-hyou1,hyou1,1.612826947,0
gene-crtam,crtam,-3.133402583,0.002961233
gene-dgat2,dgat2,-1.891969571,5.36E-07
gene-map6a,map6a,-1.841866399,2.60E-05
gene-ppm1e,ppm1e,-2.789715017,1.99E-12
gene-kctd7,kctd7,-2.08989827,0
gene-LOC101885935,LOC101885935,-2.342280895,0
gene-il2rga,il2rga,-1.718765825,0.002632871
gene-si:dkey-18a10.3,si:dkey-18a10.3,-3.878886435,9.02E-15
gene-ryr1a,ryr1a,-2.204316291,0
gene-fryb,fryb,-2.308235168,0
gene-LOC103911763,LOC103911763,-4.999285832,0
gene-ccdc169,ccdc169,-4.168387544,0
gene-LOC103911767,LOC103911767,-2.361584904,0.002641441
gene-ypel2a,ypel2a,-1.554699524,0
gene-LOC101883602,LOC101883602,-2.918920335,3.86E-05
gene-hmgb1a,hmgb1a,-1.632928054,0
gene-ubl3a,ubl3a,-1.936750675,0
gene-alox5ap,alox5ap,-3.387044927,4.67E-10
gene-LOC101885611,LOC101885611,-2.887256108,4.03E-05
gene-slc1a3b,slc1a3b,-2.588765958,1.61E-07
gene-ucp3,ucp3,-2.090011847,0.005506393
gene-dnajb13,dnajb13,-4.197933715,0
gene-si:ch211-176g13.7,si:ch211-176g13.7,-2.532581674,0.001963778
gene-dhrs13a.2,dhrs13a.2,1.539936267,0
gene-si:ch211-176g13.8,si:ch211-176g13.8,-2.183164434,0
gene-myo18aa,myo18aa,-1.751370141,1.77E-13
gene-cuedc1a,cuedc1a,-2.133300611,7.34E-10
gene-wscd1b,wscd1b,-2.791819565,0.039405758
gene-samsn1b,samsn1b,-2.507429503,0
gene-LOC103911775,LOC103911775,-2.544904149,0
gene-si:ch73-1a9.3,si:ch73-1a9.3,-1.516481749,0
gene-lrrc75bb,lrrc75bb,-3.411011793,2.08E-11
gene-rnf34b,rnf34b,-1.985233648,0.017638364
gene-morn3,morn3,-4.401352323,0
gene-acot12,acot12,-2.187422809,0
gene-ssbp2,ssbp2,-1.526288954,0
gene-edil3b,edil3b,-2.155704813,0.003983658
gene-crybb1,crybb1,-2.492465447,0
gene-LOC100333206,LOC100333206,-1.830614955,0
gene-LOC110440077,LOC110440077,-1.861403439,6.31E-15
gene-rilpl1,rilpl1,-1.590091423,0.002534522
gene-slc4a5,slc4a5,-1.604402635,0
gene-tuba7l,tuba7l,-3.458493959,0
gene-sec14l7,sec14l7,-1.530143282,0.041883424
gene-LOC100534832,LOC100534832,-1.743728501,0
gene-LOC103908995,LOC103908995,-1.912847563,0.000113797
gene-znf831,znf831,-2.58274557,1.16E-05
gene-zgc:77375,zgc:77375,-3.062645615,0
gene-mkrn2os.2,mkrn2os.2,-1.851885381,0.006921696
gene-timp4.2,timp4.2,-3.473794532,3.12E-14
gene-timp4.3,timp4.3,-1.542551399,2.98E-13
gene-ppp1r3db,ppp1r3db,-3.100708265,3.42E-05
gene-calcoco1b,calcoco1b,-2.273917288,0
gene-pip4k2cb,pip4k2cb,-2.072765267,0.012368891
gene-si:ch73-190f16.2,si:ch73-190f16.2,-2.340742868,8.11E-16
gene-zgc:193807,zgc:193807,-2.084351061,0
gene-lhfpl5a,lhfpl5a,-2.210077555,1.20E-07
gene-prph,prph,-3.278515684,0
gene-tuba2,tuba2,-2.339998551,0
gene-si:dkey-33m11.7,si:dkey-33m11.7,-3.595232848,9.76E-08
gene-ddx19,ddx19,1.720222146,0
gene-si:dkey-33m11.6,si:dkey-33m11.6,-1.633086901,2.60E-08
gene-ccdc3b,ccdc3b,-2.501711374,0.045110201
gene-ushbp1,ushbp1,-1.538500486,0
gene-ccl44,ccl44,-2.025696468,0.003708776
gene-ccl25b,ccl25b,-1.615276834,0
gene-zgc:113223,zgc:113223,-3.15288892,0
gene-reep6,reep6,-5.315576129,0
gene-prkacba,prkacba,-1.698539933,7.63E-09
gene-LOC101885717,LOC101885717,-2.476193579,0.00477932
gene-si:dkey-23f9.12,si:dkey-23f9.12,-3.966699316,0
gene-krt94,krt94,-1.833946987,0
gene-zgc:110712,zgc:110712,2.914342543,1.37E-10
gene-krt15,krt15,-1.615498869,0
gene-jupa,jupa,-1.762405852,3.02E-05
gene-LOC110437768,LOC110437768,-2.876275342,0
gene-LOC101882863,LOC101882863,-3.234186818,0
gene-si:dkey-13m1.2,si:dkey-13m1.2,-2.27271884,0.010141924
gene-palm1a,palm1a,-2.808281614,5.39E-06
gene-plppr3b,plppr3b,-2.007885802,1.69E-05
gene-si:ch211-262i1.6,si:ch211-262i1.6,3.200603462,0
gene-LOC101883516,LOC101883516,-2.926722882,1.44E-08
gene-LOC103911818,LOC103911818,-2.731431185,9.66E-09
gene-gdf11,gdf11,-2.957297857,7.93E-06
gene-slc25a26,slc25a26,7.658778071,0.000923696
gene-kbtbd8,kbtbd8,-4.048857709,0.002966171
gene-fam19a1,fam19a1,-3.442639212,1.52E-11
gene-LOC103911830,LOC103911830,-3.429742811,2.37E-07
gene-zmynd8,zmynd8,-1.733444131,0
gene-si:dkey-30j16.3,si:dkey-30j16.3,-2.228793791,0
gene-slc6a14,slc6a14,-2.893670444,2.45E-10
gene-LOC110440098,LOC110440098,1.699844726,1.69E-08
gene-tfeb,tfeb,-1.60754106,0.030573828
gene-foxp4,foxp4,-1.597250627,0
gene-lrrn2,lrrn2,-1.6098071,0.00024931
gene-plekha6,plekha6,-1.573293402,0
gene-maf1,maf1,-1.574357688,0
gene-dvl1b,dvl1b,-2.381079241,3.91E-12
gene-LOC101886928,LOC101886928,-2.154045058,0
gene-si:ch211-25d12.7,si:ch211-25d12.7,-2.672202913,2.47E-06
gene-myh7ba,myh7ba,-3.460986147,3.08E-13
gene-tp53inp2,tp53inp2,-2.555412158,0
gene-LOC101882529,LOC101882529,1.629651902,1.72E-09
gene-opn1sw2,opn1sw2,-1.870990086,0
gene-tfe3b,tfe3b,-1.576798781,8.46E-07
gene-comtb,comtb,-1.759295723,1.98E-14
gene-grm6b,grm6b,-3.253716065,8.86E-06
gene-plch2b,plch2b,-2.880098997,1.43E-12
gene-si:dkey-183j2.10,si:dkey-183j2.10,-2.775683399,7.32E-06
gene-fer1l4,fer1l4,-2.423936384,5.16E-14
gene-unm_sa1614,unm_sa1614,-1.574729586,0
gene-st3gal8,st3gal8,1.660584913,0
gene-efcc1,efcc1,-3.110168269,8.11E-16
gene-si:dkey-57n24.6,si:dkey-57n24.6,-2.893469263,0
gene-eif4g3a,eif4g3a,-1.648768151,0
gene-wu:fi42e03,wu:fi42e03,1.624224613,0
gene-rnf207a,rnf207a,-2.439220783,0.045088651
gene-chd5,chd5,-2.307781726,0
gene-grpr,grpr,-2.285486528,0.035769699
gene-cybb,cybb,-2.042535265,0
gene-xk,xk,-1.590344078,0.000247189
gene-zgc:113276,zgc:113276,1.879211808,4.92E-06
gene-rs1a,rs1a,-1.571409642,0.010184692
gene-ugt1b1,ugt1b1,-1.879394893,0
gene-ugt1b5,ugt1b5,-2.64296073,8.67E-13
gene-ugt1b2,ugt1b2,-1.76404968,0.021600592
gene-zgc:158773,zgc:158773,-1.622608535,2.05E-05
gene-nxph2b,nxph2b,-1.843784453,0.000195594
gene-col6a2,col6a2,-1.921916969,0
gene-dnah1,dnah1,-3.834303582,0
gene-slc38a3a,slc38a3a,-2.131451944,0.010041925
gene-camkvb,camkvb,-3.516732112,4.70E-14
gene-bhlhe40,bhlhe40,-1.620629487,0
gene-sypl2a,sypl2a,-2.748917542,3.30E-05
gene-ldlrad2,ldlrad2,-1.906987377,4.08E-16
gene-LOC100003741,LOC100003741,-2.38480437,0.000512875
gene-il17rc,il17rc,-1.828924703,1.63E-05
gene-erc2-2,erc2,-2.285472783,0.001348407
gene-zgc:158258,zgc:158258,-2.117901645,7.09E-15
gene-kif17,kif17,-2.040661956,0
gene-slc41a1,slc41a1,-2.174812481,2.67E-12
gene-si:dkey-166c18.1,si:dkey-166c18.1,-2.714559731,1.56E-08
gene-cldn19,cldn19,-1.823231457,0.039654585
gene-fam83e,fam83e,-1.516768497,0
gene-si:ch211-193i15.1,si:ch211-193i15.1,-4.184525416,0
gene-si:dkey-207b20.2,si:dkey-207b20.2,-3.378612064,8.58E-10
gene-ccdc114,ccdc114,-2.374709013,0
gene-iffo2b,iffo2b,-1.648082968,1.64E-13
gene-megf6b,megf6b,-1.649774698,0
gene-LOC103911879,LOC103911879,-2.271158853,2.97E-09
gene-abhd6a,abhd6a,-2.324654568,2.30E-07
gene-arf4b,arf4b,-2.860998383,0
gene-si:ch73-106k19.5,si:ch73-106k19.5,-2.762782439,4.95E-08
gene-LOC100331538,LOC100331538,-1.567349438,0.003555218
gene-si:ch73-106k19.4,si:ch73-106k19.4,-2.104428003,0
gene-vipb,vipb,-2.247720675,3.06E-07
gene-slc29a1b,slc29a1b,-2.234103903,2.31E-09
gene-LOC100329480,LOC100329480,-2.677568682,7.50E-13
gene-LOC110440112,LOC110440112,-1.841275542,5.81E-05
gene-opn6a,opn6a,-3.331951145,0
gene-cant1b,cant1b,-1.538565099,0
gene-tmc8,tmc8,-1.501739357,1.15E-08
gene-hrasls,hrasls,-2.166855074,0.004196823
gene-myocd,myocd,-1.918450465,0
gene-dnah9,dnah9,-4.786996771,0
gene-shisa6,shisa6,-2.711094685,0.000224987
gene-LOC100333572,LOC100333572,-1.854624272,0
gene-LOC108191687,LOC108191687,-2.057132653,0.006958601
gene-si:ch211-176g6.2,si:ch211-176g6.2,-1.841011379,0
gene-wfikkn2b,wfikkn2b,-2.28637305,2.98E-06
gene-abcc3,abcc3,-2.220113887,0
gene-LOC100332293,LOC100332293,-2.512321154,0
gene-LOC100535225,LOC100535225,-2.057214145,1.68E-08
gene-frmpd2,frmpd2,-3.204668352,0
gene-gdf2,gdf2,1.699389181,0.007305124
gene-sgca,sgca,-3.017620267,3.19E-05
gene-rac3b,rac3b,-1.962489459,0
gene-gngt2b,gngt2b,-2.78176245,0.016345501
gene-col1a1b,col1a1b,-2.172442583,0
gene-g6pc3,g6pc3,-2.789544883,6.82E-12
gene-zgc:92040,zgc:92040,-1.528222433,0
gene-fam57bb,fam57bb,-1.591419455,0.000104351
gene-aldoab,aldoab,-1.923899806,2.67E-07
gene-si:dkey-32n7.7,si:dkey-32n7.7,-1.850606645,2.98E-10
gene-itgam,itgam,-1.530028439,3.28E-05
gene-mmp25b,mmp25b,-2.955727624,1.71E-07
gene-hrc,hrc,-1.711800875,0.037413523
gene-trpm4b.2,trpm4b.2,-2.408026569,9.98E-12
gene-si:dkey-94f20.4,si:dkey-94f20.4,-3.437950036,0.010317336
gene-irf3,irf3,-1.588341259,0
gene-cd79b,cd79b,-4.410156331,7.09E-15
gene-mapta,mapta,-1.843945641,1.40E-07
gene-prrt2,prrt2,-2.211933028,0.031933868
gene-pde6c,pde6c,-2.421887189,0
gene-si:ch211-197g18.2,si:ch211-197g18.2,-2.668511669,4.51E-08
gene-lgi1b,lgi1b,-2.435970207,0.000890816
gene-dlx3b,dlx3b,-4.456434404,1.28E-09
gene-g6pca.1,g6pca.1,-1.512010388,2.67E-13
gene-asah2,asah2,-2.642728255,0.001796768
gene-prkg1b,prkg1b,1.67928715,0.002244743
gene-slc16a9b,slc16a9b,-1.868928029,0
gene-zgc:194508,zgc:194508,-2.125347178,0
gene-ank3b,ank3b,-2.075112271,0
gene-LOC110440139,LOC110440139,-4.035067265,0
gene-kcnh6b,kcnh6b,-1.807651697,2.33E-06
gene-ndufa4,ndufa4,-1.653794926,6.70E-15
gene-eef2k,eef2k,-1.600437932,0
gene-crym,crym,-1.614762123,0
gene-lrrc3ca,lrrc3ca,-1.901622552,0.000445334
gene-LOC103911903,LOC103911903,-4.573589506,0.044283215
gene-mpp3b,mpp3b,-2.056362002,0.001488952
gene-hectd2,hectd2,-1.662287781,0
gene-htr7,htr7,-1.645133084,0.001816673
gene-ankrd22,ankrd22,1.714133131,0
gene-rsph10b,rsph10b,-1.701602309,0
gene-pvalb3,pvalb3,-2.51845453,4.87E-06
gene-pvalb2,pvalb2,-1.84879398,0
gene-si:dkey-7e14.3,si:dkey-7e14.3,-2.922911311,0.000427222
gene-rgs9b,rgs9b,-1.972342197,0.000183971
gene-chadlb,chadlb,-2.16253061,5.71E-10
gene-si:ch73-139e5.2,si:ch73-139e5.2,-3.731758349,4.39E-12
gene-csdc2a,csdc2a,-1.51179302,0
gene-sh3bp1,sh3bp1,-3.560818701,1.19E-13
gene-si:ch211-141o9.10,si:ch211-141o9.10,-3.021235741,0
gene-foxj1b,foxj1b,-3.628639821,0
gene-aqp8a.1,aqp8a.1,-2.388479582,7.66E-06
gene-arsg,arsg,-1.822974593,6.60E-05
gene-calcoco2,calcoco2,-1.762837981,0
gene-nme2a,nme2a,-1.962098226,3.38E-14
gene-LOC103911913,LOC103911913,-3.581809731,2.40E-15
gene-st6galnac1.2,st6galnac1.2,2.025316099,0
